City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,brookings,44.3114,-96.7984,1.32,83,75,3.6,US,1680531865
84,jashpurnagar,22.9,84.15,26.08,23,80,2.38,IN,1680531971
85,bengkulu,-3.8004,102.2655,24.71,88,100,1.84,ID,1680531971
86,selaphum,16.0299,103.9383,30.95,34,15,2.38,TH,1680531971
87,port macquarie,-31.4333,152.9167,17.16,89,44,0.91,AU,1680531972
88,basco,20.4487,121.9702,24.16,65,6,9.57,PH,1680531972
89,barrow,71.2906,-156.7887,-13.99,72,100,6.17,US,1680531972
90,carnarvon,-24.8667,113.6333,23.85,75,99,4.61,AU,1680531972
91,langarud,37.197,50.1535,15.03,74,15,3.57,IR,1680531841
92,thompson,55.7435,-97.8558,-22.91,84,100,2.06,CA,1680531973
93,jalu,29.0331,21.5482,27.87,24,0,7.46,LY,1680531974
94,neiafu,-18.65,-173.9833,21.38,94,20,0.0,TO,1680531974
95,new norfolk,-42.7826,147.0587,14.28,69,100,1.26,AU,1680531975
96,maridi,4.9158,29.4742,36.34,13,24,3.51,SS,1680531976
97,santiago de cao,-7.9589,-79.2392,26.07,83,0,3.09,PE,1680531977
98,wilmington,34.2257,-77.9447,21.95,57,0,4.47,US,1680531808
99,albany,42.6001,-73.9662,7.35,31,61,1.34,US,1680531978
100,salto,-31.3833,-57.9667,19.93,77,83,5.36,UY,1680531873
101,avarua,-21.2078,-159.775,22.03,88,99,1.03,CK,1680531979
102,avera,33.194,-82.5271,13.64,66,100,2.89,US,1680531979
103,hithadhoo,-0.6,73.0833,28.44,70,68,3.72,MV,1680531979
104,nalut,30.3333,10.85,19.23,15,0,8.77,LY,1680531980
105,reo,12.3167,-2.4667,38.98,7,8,4.48,BF,1680531980
106,provideniya,64.3833,-173.3,-12.74,97,99,2.02,RU,1680531980
107,san cristobal,7.7669,-72.225,22.1,46,100,3.69,VE,1680531981
108,constitucion,-35.3333,-72.4167,18.01,51,100,2.93,CL,1680531981
109,orlik,52.5178,99.825,-16.92,82,70,1.81,RU,1680531981
110,anadyr,64.75,177.4833,-23.72,77,40,6.0,RU,1680531981
111,shu,43.5983,73.7614,12.94,20,0,11.72,KZ,1680531981
112,gedo,9.0167,37.45,20.01,44,52,1.92,ET,1680531981
113,tuscaloosa,33.2098,-87.5692,15.05,89,74,4.19,US,1680531982
114,bukachacha,52.9833,116.9167,-8.89,69,100,2.56,RU,1680531982
115,sept-iles,50.2001,-66.3821,-5.71,53,20,5.14,CA,1680531982
116,dingle,10.9995,122.6711,25.21,80,100,2.6,PH,1680531982
117,vao,-22.6667,167.4833,25.35,82,4,5.08,NC,1680531982
118,lubbock,33.6001,-101.8338,17.86,15,0,3.13,US,1680531982
119,acapulco,16.8634,-99.8901,24.9,69,40,1.54,MX,1680531815
120,hobart,-42.8794,147.3294,14.47,87,100,3.6,AU,1680531784
121,kilindoni,-7.9139,39.6668,27.86,78,96,5.48,TZ,1680531983
122,chokwe,-24.5333,32.9833,30.34,47,0,3.74,MZ,1680531983
123,vanimo,-2.6741,141.3028,26.03,86,99,0.84,PG,1680531984
124,ishurdi,24.1333,89.0833,30.11,29,74,0.98,BD,1680531984
125,erenhot,43.6475,111.9767,2.43,33,100,6.83,CN,1680531984
126,grindavik,63.8424,-22.4338,9.26,87,100,13.38,IS,1680531984
127,malanje,-9.5402,16.341,23.5,80,100,1.23,AO,1680531984
128,pacifica,37.6138,-122.4869,7.85,63,20,9.26,US,1680531984
129,santa helena de goias,-17.8136,-50.5969,26.39,65,0,2.76,BR,1680531785
130,khanpur,28.6453,70.6567,30.22,26,0,2.08,PK,1680531780
131,marzuq,14.4,46.4667,26.49,55,100,4.32,YE,1680531985
132,kavieng,-2.5744,150.7967,27.65,78,91,2.91,PG,1680531985
133,sorland,67.667,12.6934,4.92,81,75,7.2,NO,1680531985
134,ponta delgada,37.7333,-25.6667,16.4,63,75,4.63,PT,1680531985
135,saint anthony,45.0205,-93.218,3.77,74,0,4.63,US,1680531985
136,kathu,7.9178,98.3332,30.94,89,100,4.53,TH,1680531985
137,esperance,-33.8667,121.9,19.57,82,94,2.64,AU,1680531986
138,luderitz,-26.6481,15.1594,23.99,49,0,11.7,NA,1680531986
139,bojnurd,37.4747,57.329,5.97,81,20,1.03,IR,1680531986
140,mount gambier,-37.8333,140.7667,10.43,95,17,2.09,AU,1680531986
141,cabo san lucas,22.8909,-109.9124,23.06,53,100,4.26,MX,1680531986
142,khatanga,71.9667,102.5,-20.67,97,100,4.32,RU,1680531987
143,naustdal,61.509,5.7168,8.33,56,75,0.51,NO,1680531988
144,buchanan,5.8808,-10.0467,29.16,67,87,3.88,LR,1680531988
145,erdenet,49.0333,104.0833,-9.14,56,5,3.09,MN,1680531988
146,port keats,-14.25,129.55,26.87,74,100,0.46,AU,1680531988
147,bam,29.106,58.357,22.87,9,0,5.2,IR,1680531988
148,husavik,66.0449,-17.3389,3.55,98,100,4.26,IS,1680531988
149,trinidad,-14.8333,-64.9,28.99,74,40,3.6,BO,1680531988
150,nadvoitsy,63.8667,34.3167,-2.63,82,56,4.29,RU,1680531989
151,clyde river,70.4692,-68.5914,-24.87,84,0,5.14,CA,1680531989
152,cape town,-33.9258,18.4232,23.82,58,75,3.13,ZA,1680531738
153,kieta,-6.2167,155.6333,26.17,85,100,1.12,PG,1680531989
154,togur,58.3631,82.8265,1.13,98,100,2.68,RU,1680531989
155,los llanos de aridane,28.6585,-17.9182,20.62,79,20,8.75,ES,1680531989
156,mariinsk,56.2139,87.7472,-1.39,78,72,5.52,RU,1680531989
157,saint george,37.1041,-113.5841,14.33,40,75,2.06,US,1680531989
158,pinsk,52.1229,26.0951,3.48,56,100,7.05,BY,1680531989
159,pisco,-13.7,-76.2167,25.03,78,100,1.03,PE,1680531990
160,east london,-33.0153,27.9116,23.52,60,20,9.26,ZA,1680531990
161,inzer,54.2167,57.5556,6.04,78,44,1.88,RU,1680531990
162,san francisco,37.7749,-122.4194,7.92,63,20,10.73,US,1680531988
163,yacuiba,-22.038,-63.6797,28.43,65,20,0.0,BO,1680531991
164,nanortalik,60.1432,-45.2371,2.27,88,100,2.2,GL,1680531991
165,bud,39.447,-86.1758,14.92,81,100,4.08,US,1680531991
166,alofi,-19.0595,-169.9187,24.94,94,75,4.12,NU,1680531707
167,margate,51.3813,1.3862,10.73,65,4,1.34,GB,1680531991
168,goias,-15.5807,-49.6362,25.23,65,100,1.56,BR,1680531992
169,male,4.1748,73.5089,29.97,74,40,2.57,MV,1680531933
170,codrington,-38.2667,141.9667,12.26,91,9,2.45,AU,1680531992
171,cayenne,4.9333,-52.3333,28.02,69,75,5.66,GF,1680531795
172,mahebourg,-20.4081,57.7,28.16,74,20,3.6,MU,1680531992
173,yanam,16.7333,82.2167,27.26,82,89,3.05,IN,1680531992
174,kodiak,57.79,-152.4072,-1.27,93,100,0.0,US,1680531992
175,namie,37.4833,141.0,3.17,65,0,1.6,JP,1680531993
176,thai binh,20.45,106.3333,23.82,91,41,3.59,VN,1680531993
177,caruray,10.3094,119.0128,26.02,86,5,1.79,PH,1680531993
178,upernavik,72.7868,-56.1549,-25.03,94,78,0.52,GL,1680531993
179,biak,-0.9131,122.8766,25.01,83,100,0.68,ID,1680531993
180,marquette,46.5333,-87.6335,3.42,72,9,7.15,US,1680531791
181,mattru,7.6244,-11.8332,36.61,38,52,1.93,SL,1680531993
182,faanui,-16.4833,-151.75,27.56,70,31,1.76,PF,1680531976
183,springhill,33.006,-93.4668,20.02,95,65,4.02,US,1680531869
184,vila velha,-20.3297,-40.2925,27.97,66,20,5.66,BR,1680531994
185,georgetown,5.4112,100.3354,26.97,83,20,0.0,MY,1680531975
186,chateaubelair,13.2833,-61.25,27.29,74,40,6.17,VC,1680531994
187,keti bandar,24.1447,67.4497,26.21,75,0,7.02,PK,1680531994
188,hastings,50.8552,0.5729,12.27,26,3,7.03,GB,1680531783
189,ambilobe,-13.2,49.05,26.73,85,99,0.67,MG,1680531994
190,tuktoyaktuk,69.4541,-133.0374,-25.0,77,40,1.54,CA,1680531994
191,altamira,-3.2033,-52.2064,28.05,78,75,2.57,BR,1680531994
192,san vicente,-26.6167,-54.1333,26.61,51,18,2.85,AR,1680531994
193,wahiawa,21.5028,-158.0236,19.55,90,75,1.54,US,1680531994
194,eydhafushi,5.1033,73.0708,28.24,69,60,3.38,MV,1680531823
195,santo domingo,18.5001,-69.9886,28.29,72,40,5.14,DO,1680531995
196,yumen,40.2833,97.2,7.4,23,100,6.57,CN,1680531995
197,souillac,-20.5167,57.5167,28.21,74,20,3.6,MU,1680531995
198,bumba,2.1833,22.4667,29.36,58,97,2.78,CD,1680531995
199,lazaro cardenas,17.9583,-102.2,24.47,59,15,1.58,MX,1680531995
200,mukhen,48.1,136.1,11.73,60,100,3.64,RU,1680531997
201,waling,27.9833,83.7667,19.35,67,87,1.91,NP,1680531997
202,lasa,46.6166,10.7002,12.61,61,26,3.45,IT,1680532000
203,bluff,-46.6,168.3333,13.05,81,97,6.08,NZ,1680532000
204,ahipara,-35.1667,173.1667,15.97,70,7,4.77,NZ,1680532000
205,ushtobe,45.2514,77.9838,6.61,17,0,12.22,KZ,1680532001
206,adrar,20.5022,-10.0711,35.56,3,0,4.05,MR,1680532002
207,viedma,-40.8135,-62.9967,19.21,57,0,2.61,AR,1680532002
208,nador,35.174,-2.9287,23.04,49,0,3.6,MA,1680532002
209,yerofey pavlovich,53.9667,121.9667,-9.69,81,94,3.83,RU,1680532002
210,aparecida do taboado,-20.0867,-51.0936,27.1,63,0,2.65,BR,1680532002
211,saint-joseph,-21.3667,55.6167,25.21,82,100,1.63,RE,1680532003
212,ashland,40.8167,-82.2665,13.6,58,26,5.83,US,1680532003
213,eidsvag,62.7767,8.0668,8.36,87,100,0.73,NO,1680532003
